timestamp,demand_kw,solar_kw,wind_kw,temperature_c,cloud_cover_pct,wind_speed_ms,solar_radiation_wm2
2026-06-14 14:00:00+00:00,2342.38,316.41,37.05,33.78,26.9,3.9,667.86
2026-06-14 15:00:00+00:00,2466.86,239.22,20.81,32.05,39.14,1.17,496.72
2026-06-14 16:00:00+00:00,2368.95,199.0,29.24,32.19,24.12,4.24,348.87
2026-06-14 17:00:00+00:00,2096.83,79.32,30.42,29.26,53.85,3.91,136.46
2026-06-14 18:00:00+00:00,1920.02,0.0,68.05,29.61,41.46,9.28,0.0
2026-06-14 19:00:00+00:00,1719.04,0.0,34.51,28.68,33.8,4.1,0.0
2026-06-14 20:00:00+00:00,1627.58,0.0,39.09,28.1,45.16,5.17,0.0
2026-06-14 21:00:00+00:00,1499.31,0.0,62.22,27.32,52.46,7.57,0.0
2026-06-14 22:00:00+00:00,1278.59,0.0,38.23,27.42,51.97,4.68,0.0
2026-06-14 23:00:00+00:00,1126.84,0.0,122.62,26.03,41.99,10.89,0.0
2026-06-15 00:00:00+00:00,1374.16,0.0,104.24,24.47,44.98,8.33,0.0
2026-06-15 01:00:00+00:00,1368.64,0.0,88.46,28.18,48.65,6.97,0.0
2026-06-15 02:00:00+00:00,1367.03,0.0,83.01,25.08,40.5,5.76,0.0
2026-06-15 03:00:00+00:00,1457.23,0.0,109.99,28.03,54.2,7.44,0.0
2026-06-15 04:00:00+00:00,1503.78,0.0,80.41,27.68,53.06,5.77,0.0
2026-06-15 05:00:00+00:00,1738.46,0.0,100.17,27.72,57.45,5.8,0.0
2026-06-15 06:00:00+00:00,1757.96,0.0,56.0,29.99,63.52,4.15,0.0
2026-06-15 07:00:00+00:00,2203.94,48.05,47.17,28.79,70.49,2.41,112.13
2026-06-15 08:00:00+00:00,2375.65,99.28,29.94,30.09,59.91,1.6,260.1
2026-06-15 09:00:00+00:00,2500.9,204.74,7.82,32.88,51.69,0.5,419.24
2026-06-15 10:00:00+00:00,2769.15,258.87,15.43,35.72,53.91,0.5,504.68
2026-06-15 11:00:00+00:00,2784.05,171.92,0.0,34.36,75.83,0.5,410.65
2026-06-15 12:00:00+00:00,2971.99,318.13,25.8,34.94,46.67,0.5,589.53
2026-06-15 13:00:00+00:00,3044.3,260.14,1.03,38.19,52.33,0.5,502.07
2026-06-15 14:00:00+00:00,2896.11,271.74,24.81,32.4,40.39,4.53,574.27
2026-06-15 15:00:00+00:00,2898.41,232.38,40.31,31.8,38.59,6.41,476.6
2026-06-15 16:00:00+00:00,2733.43,182.02,66.22,30.04,26.13,7.76,346.96
2026-06-15 17:00:00+00:00,2548.64,86.82,16.06,30.86,33.16,4.14,161.8
2026-06-15 18:00:00+00:00,2297.56,4.29,67.45,27.07,37.59,8.16,4.8
2026-06-15 19:00:00+00:00,2134.3,0.0,69.98,27.32,29.35,7.99,0.0
2026-06-15 20:00:00+00:00,2025.02,0.0,44.85,27.27,18.64,3.76,0.0
2026-06-15 21:00:00+00:00,1611.44,0.0,72.72,26.72,33.65,10.04,0.0
2026-06-15 22:00:00+00:00,1521.24,0.0,72.93,27.96,36.58,7.59,0.0
2026-06-15 23:00:00+00:00,1243.17,0.0,94.79,29.1,47.48,9.19,0.0
2026-06-16 00:00:00+00:00,1300.53,0.0,82.0,25.73,31.72,6.24,0.0
2026-06-16 01:00:00+00:00,1273.79,0.0,99.84,25.01,54.34,6.93,0.0
2026-06-16 02:00:00+00:00,1271.58,0.0,101.02,27.8,77.56,7.29,0.0
2026-06-16 03:00:00+00:00,1414.42,0.0,77.57,27.36,63.26,4.95,0.0
2026-06-16 04:00:00+00:00,1522.89,0.0,62.05,30.77,91.14,4.79,0.0
2026-06-16 05:00:00+00:00,1641.67,0.0,128.53,26.11,69.22,8.19,0.0
2026-06-16 06:00:00+00:00,1822.8,0.0,30.34,25.77,62.56,2.88,0.0
2026-06-16 07:00:00+00:00,2246.95,69.0,15.48,28.09,96.43,1.65,50.29
2026-06-16 08:00:00+00:00,2301.57,119.76,115.64,30.94,68.11,6.96,216.05
2026-06-16 09:00:00+00:00,2508.18,184.39,2.05,31.97,58.6,0.5,380.64
2026-06-16 10:00:00+00:00,2730.42,170.71,31.22,34.03,72.69,2.71,412.26
2026-06-16 11:00:00+00:00,2888.17,260.53,70.38,34.3,52.42,6.29,612.71
2026-06-16 12:00:00+00:00,3033.66,282.06,23.43,35.78,53.94,2.96,524.01
2026-06-16 13:00:00+00:00,2938.48,277.65,24.42,33.12,50.07,2.21,570.36
2026-06-16 14:00:00+00:00,2979.4,413.0,0.11,35.53,4.0,1.93,763.93
2026-06-16 15:00:00+00:00,2811.87,160.23,0.0,33.02,65.3,0.5,385.25
2026-06-16 16:00:00+00:00,2774.77,138.86,51.67,30.99,56.51,4.67,332.44
2026-06-16 17:00:00+00:00,2458.41,92.56,13.04,30.95,47.93,3.63,160.5
2026-06-16 18:00:00+00:00,2455.23,10.96,33.23,30.17,32.14,7.34,22.53
2026-06-16 19:00:00+00:00,2220.9,0.0,38.78,26.89,17.93,4.74,0.0
2026-06-16 20:00:00+00:00,1795.62,0.0,41.46,25.95,21.8,6.57,0.0
2026-06-16 21:00:00+00:00,1516.7,0.0,70.85,27.46,56.72,8.34,0.0
2026-06-16 22:00:00+00:00,1369.26,0.0,93.37,27.1,48.71,10.83,0.0
2026-06-16 23:00:00+00:00,1436.65,0.0,121.0,27.88,22.39,10.85,0.0
2026-06-17 00:00:00+00:00,1345.89,0.0,120.61,26.14,62.21,10.14,0.0
2026-06-17 01:00:00+00:00,1287.8,0.0,102.37,27.4,40.93,7.6,0.0
2026-06-17 02:00:00+00:00,1445.78,0.0,96.66,28.5,41.62,7.35,0.0
2026-06-17 03:00:00+00:00,1408.09,0.0,147.22,25.76,63.64,8.81,0.0
2026-06-17 04:00:00+00:00,1720.53,0.0,119.66,28.28,75.62,7.61,0.0
2026-06-17 05:00:00+00:00,1708.63,0.0,93.28,23.99,88.55,4.86,0.0
2026-06-17 06:00:00+00:00,1928.12,7.86,32.72,26.59,46.23,1.8,0.0
2026-06-17 07:00:00+00:00,2136.75,107.76,72.85,28.17,29.84,4.33,172.45
2026-06-17 08:00:00+00:00,2332.24,114.56,81.15,32.64,66.43,4.56,229.57
2026-06-17 09:00:00+00:00,2595.49,122.06,22.71,31.94,68.42,2.35,342.57
2026-06-17 10:00:00+00:00,2659.45,354.8,25.7,31.1,22.5,1.05,685.01
2026-06-17 11:00:00+00:00,2813.1,261.36,47.53,35.82,52.85,4.81,565.83
2026-06-17 12:00:00+00:00,2802.14,319.94,31.68,32.66,44.63,3.61,683.84
2026-06-17 13:00:00+00:00,2919.68,297.26,0.0,34.54,44.15,0.5,641.3
2026-06-17 14:00:00+00:00,2936.88,276.3,15.12,32.35,48.92,2.02,535.1
2026-06-17 15:00:00+00:00,2828.25,188.36,21.5,30.32,55.4,2.22,434.78
2026-06-17 16:00:00+00:00,2818.14,95.31,30.03,34.42,68.16,3.64,250.31
2026-06-17 17:00:00+00:00,2337.94,69.28,12.89,30.25,40.22,2.56,122.79
2026-06-17 18:00:00+00:00,2334.87,0.0,45.24,28.56,64.06,7.21,0.0
2026-06-17 19:00:00+00:00,2185.11,0.0,23.44,27.27,44.8,5.1,0.0
2026-06-17 20:00:00+00:00,2007.6,0.0,51.88,27.01,75.97,6.95,0.0
2026-06-17 21:00:00+00:00,1637.64,0.0,59.44,27.87,38.54,6.78,0.0
2026-06-17 22:00:00+00:00,1563.64,0.0,86.68,25.72,52.48,9.77,0.0
2026-06-17 23:00:00+00:00,1260.67,0.0,97.97,27.68,41.49,9.77,0.0
2026-06-18 00:00:00+00:00,1398.87,0.0,117.96,24.01,27.57,10.73,0.0
2026-06-18 01:00:00+00:00,1493.63,0.0,92.62,24.74,9.41,6.81,0.0
2026-06-18 02:00:00+00:00,1303.47,0.0,64.41,26.16,64.48,4.48,0.0
